,Id,decision,GestartOp,name,StemmenVoor,StemmenTegen,StemmenNietDeelgenomen,ActorFractie,ActorNaam,IndienerNaam,IndienerFractie,MedeIndienerNaam,MedeIndienerFractie,topic,Afgedaan
0,2019Z20030,1,29/10/2019 0:00,Gewijzigde motie van het lid De Pater-Postma c.s. over aangeven van de maximumsnelheid op matrixborden (t.v.v. 35300-XII-25),4,0,0,50PLUS,50PLUS,W.L. de Pater-Postma,CDA,C.M. van Brenk,50PLUS,Begrotingsstaten IenW,TRUE
1,2019Z20030,1,29/10/2019 0:00,Gewijzigde motie van het lid De Pater-Postma c.s. over aangeven van de maximumsnelheid op matrixborden (t.v.v. 35300-XII-25),4,0,0,50PLUS,50PLUS,W.L. de Pater-Postma,CDA,C. Stoffer,SGP,Begrotingsstaten IenW,TRUE
2,2019Z20030,1,29/10/2019 0:00,Gewijzigde motie van het lid De Pater-Postma c.s. over aangeven van de maximumsnelheid op matrixborden (t.v.v. 35300-XII-25),4,0,0,50PLUS,50PLUS,W.L. de Pater-Postma,CDA,C. Laçin,SP,Begrotingsstaten IenW,TRUE
3,2019Z20030,1,29/10/2019 0:00,Gewijzigde motie van het lid De Pater-Postma c.s. over aangeven van de maximumsnelheid op matrixborden (t.v.v. 35300-XII-25),19,0,0,CDA,CDA,W.L. de Pater-Postma,CDA,C.M. van Brenk,50PLUS,Begrotingsstaten IenW,TRUE
4,2019Z20030,1,29/10/2019 0:00,Gewijzigde motie van het lid De Pater-Postma c.s. over aangeven van de maximumsnelheid op matrixborden (t.v.v. 35300-XII-25),19,0,0,CDA,CDA,W.L. de Pater-Postma,CDA,C. Stoffer,SGP,Begrotingsstaten IenW,TRUE
5,2019Z20030,1,29/10/2019 0:00,Gewijzigde motie van het lid De Pater-Postma c.s. over aangeven van de maximumsnelheid op matrixborden (t.v.v. 35300-XII-25),19,0,0,CDA,CDA,W.L. de Pater-Postma,CDA,C. Laçin,SP,Begrotingsstaten IenW,TRUE
6,2019Z20030,1,29/10/2019 0:00,Gewijzigde motie van het lid De Pater-Postma c.s. over aangeven van de maximumsnelheid op matrixborden (t.v.v. 35300-XII-25),5,0,0,ChristenUnie,ChristenUnie,W.L. de Pater-Postma,CDA,C.M. van Brenk,50PLUS,Begrotingsstaten IenW,TRUE
7,2019Z20030,1,29/10/2019 0:00,Gewijzigde motie van het lid De Pater-Postma c.s. over aangeven van de maximumsnelheid op matrixborden (t.v.v. 35300-XII-25),5,0,0,ChristenUnie,ChristenUnie,W.L. de Pater-Postma,CDA,C. Stoffer,SGP,Begrotingsstaten IenW,TRUE
8,2019Z20030,1,29/10/2019 0:00,Gewijzigde motie van het lid De Pater-Postma c.s. over aangeven van de maximumsnelheid op matrixborden (t.v.v. 35300-XII-25),5,0,0,ChristenUnie,ChristenUnie,W.L. de Pater-Postma,CDA,C. Laçin,SP,Begrotingsstaten IenW,TRUE
9,2019Z20030,1,29/10/2019 0:00,Gewijzigde motie van het lid De Pater-Postma c.s. over aangeven van de maximumsnelheid op matrixborden (t.v.v. 35300-XII-25),19,0,0,D66,D66,W.L. de Pater-Postma,CDA,C.M. van Brenk,50PLUS,Begrotingsstaten IenW,TRUE
